local_hour,day_ahead_abs_error,best_model_abs_error,mae_gain
0,1065.8,906.749201502507,159.0507984974929
1,872.9,844.9465788216174,27.95342117838254
2,864.5730337078652,834.2996952227007,30.27333848516446
3,928.8111111111111,878.0761991787183,50.73491193239283
4,927.6444444444444,841.1923733791259,86.45207106531848
5,912.0222222222222,816.3199487068804,95.70227351534186
6,1008.5777777777778,855.5462642750066,153.0315135027712
7,1174.3555555555556,1005.371700071093,168.98385548446265
8,1305.5111111111112,1111.2502334585859,194.26087765252532
9,1281.9,1020.8049321432711,261.095067856729
10,1220.4888888888888,967.0458595349078,253.44302935398105
11,1161.8222222222223,898.5417264243309,263.2804957978914
12,1129.7802197802198,941.5936419249172,188.18657785530263
13,1112.2747252747254,933.4296651073704,178.84506016735497
14,1145.6888888888889,989.0925263538329,156.59636253505596
15,1163.8777777777777,1010.9891661200194,152.88861165775836
16,1147.1555555555556,1009.5996154224339,137.55594013312168
17,1089.5111111111112,1017.8394697661395,71.6716413449717
18,1145.1333333333334,1028.1461374582334,116.98719587510004
19,1151.6,1034.452132138033,117.14786786196692
20,1158.0222222222221,1013.5337205725757,144.48850164964642
21,1163.8666666666666,999.5596052682063,164.3070613984603
22,1109.611111111111,977.7552024570335,131.85590865407755
23,1086.3444444444444,940.5868618008086,145.75758264363583
