fold,fold_start,fold_end,model,rmse,wape
fold_1,2025-12-16T19:00:00+00:00,2025-12-30T19:00:00+00:00,naive_24,3112.897625203887,4.566749684549847
fold_1,2025-12-16T19:00:00+00:00,2025-12-30T19:00:00+00:00,day_ahead,1355.5754982838907,1.8790309644922576
fold_1,2025-12-16T19:00:00+00:00,2025-12-30T19:00:00+00:00,ridge_direct,1268.0687194025552,1.6935248557266205
fold_2,2025-12-30T19:00:00+00:00,2026-01-13T19:00:00+00:00,naive_24,2778.358521574342,4.19069463223489
fold_2,2025-12-30T19:00:00+00:00,2026-01-13T19:00:00+00:00,day_ahead,1266.232358970802,2.006172830150658
fold_2,2025-12-30T19:00:00+00:00,2026-01-13T19:00:00+00:00,ridge_direct,1214.8953571068866,1.9414883731355428
fold_3,2026-01-13T19:00:00+00:00,2026-01-27T19:00:00+00:00,naive_24,5072.098684516715,6.49810250803761
fold_3,2026-01-13T19:00:00+00:00,2026-01-27T19:00:00+00:00,day_ahead,2732.426141553989,3.0514331070985685
fold_3,2026-01-13T19:00:00+00:00,2026-01-27T19:00:00+00:00,ridge_direct,2217.6372013088685,2.4333140833508304
fold_4,2026-01-27T19:00:00+00:00,2026-02-10T19:00:00+00:00,naive_24,4454.4712335178565,6.836473033913791
fold_4,2026-01-27T19:00:00+00:00,2026-02-10T19:00:00+00:00,day_ahead,1757.0540863900576,2.508640467064157
fold_4,2026-01-27T19:00:00+00:00,2026-02-10T19:00:00+00:00,ridge_direct,1321.5404494470731,1.9364292711000086
fold_5,2026-02-10T19:00:00+00:00,2026-02-24T19:00:00+00:00,naive_24,1932.762889468018,2.9448790931667435
fold_5,2026-02-10T19:00:00+00:00,2026-02-24T19:00:00+00:00,day_ahead,854.4256808216962,1.350936376872878
fold_5,2026-02-10T19:00:00+00:00,2026-02-24T19:00:00+00:00,ridge_direct,780.8466837709093,1.2068971308448297
fold_6,2026-02-24T19:00:00+00:00,2026-03-10T19:00:00+00:00,naive_24,2949.9559944256152,4.187344090426156
fold_6,2026-02-24T19:00:00+00:00,2026-03-10T19:00:00+00:00,day_ahead,1127.5051261629853,1.7141988390902925
fold_6,2026-02-24T19:00:00+00:00,2026-03-10T19:00:00+00:00,ridge_direct,1054.3696466760666,1.6010742271306992
